375.43,41.061,78,4,22
379.2,43.093,27,5,22
201.99,19.835,6,1,23
202.39,19.91,13,2,23
203.02,19.26,20,3,23
203.26,19.034,18,4,23
203.63,18.35,38,5,23
111.35,49.578,40,1,24
111.74,49.644,32,2,24
113.09,49.644,26,3,24
111.91,49.911,14,4,24
113.16,49.952,18,5,24
222.33,156.34,3,1,25
221.43,157.03,16,2,25
221.09,156.9,33,3,25
216.74,157.68,50,4,25
213.29,158.54,14,5,25
296.23,134.85,41,1,26
297.29,135.76,34,2,26
299.02,137.21,37,3,26
298.74,136.94,35,4,26
299.36,138.16,29,5,26
325.14,32.481,55,1,27
324.73,32.222,44,2,27
324.66,31.837,52,3,27
324.41,31.538,54,4,27
323.93,30.285,53,5,27
299.91,120.62,15,1,28
302.79,122.82,28,2,28
304.05,123.31,33,3,28
304.84,124.71,37,4,28
306.08,126.29,34,5,28
174.39,120.82,16,1,29
172.53,120.46,20,2,29
173.08,120.43,21,3,29
173.66,120.12,9,4,29
174.07,119.29,11,5,29
56.56,117.74,39,1,30
56.354,116.64,71,2,30
54.656,115.14,52,3,30
52.976,114.21,64,4,30
55.355,114.64,38,5,30
100.17,151.34,14,1,31
101.2,151.53,20,2,31
101.3,151.48,14,3,31
101.4,151.66,15,4,31
100.6,150.61,15,5,31
185.28,162.47,21,1,32
184.99,162.16,13,2,32
185.76,162.07,20,3,32
185.41,162.4,13,4,32
185.87,162.23,19,5,32
79.424,137.54,40,1,33
79.16,137.69,18,2,33
79.124,136.89,8,3,33
78.977,137,7,4,33
79.2,137,5,5,33
98.197,51.894,46,1,34
99.125,52.261,25,2,34
101.4,53.294,54,3,34
103.08,53.821,46,4,34
104.51,53.506,6,5,34
272.74,22.006,38,1,35
271.19,21.059,31,2,35
270.86,21.111,31,3,35
268.73,18.224,41,4,35
266.67,16.339,3,5,35
283.02,132.16,6,1,36
281.92,132.25,26,2,36
282.3,132.37,37,3,36
281.5,132.72,13,4,36
282.51,131.2,26,5,36
299.21,91.053,39,1,37
300.84,90.793,40,2,37
302.02,89.881,44,3,37
303.03,89.305,32,4,37
301.15,89.471,15,5,37
308.56,51.882,17,1,38
306.12,51.576,21,2,38
309.01,51.014,7,3,38
306.31,51.054,15,4,38
304.83,51.168,6,5,38
315.42,87.854,7,1,39
316.92,88.163,17,2,39
315.51,86.859,15,3,39
312.65,81.125,20,4,39
193.54,146.13,9,1,40
196.62,146.26,18,2,40
200.8,142.64,41,3,40
200.16,142.71,45,4,40
288.99,73.196,27,1,41
289.21,73.261,25,2,41
288.89,72.969,24,3,41
288.41,72.493,33,4,41
294.59,109.87,33,1,42
294.65,109.65,28,2,42
294.82,109.33,20,3,42
294.18,109.45,30,4,42
82.044,55.341,44,1,43
77.753,55.345,14,2,43
75.906,55.612,17,3,43
79.118,54.574,17,4,43
66.168,40.054,14,1,44
67.721,39.566,7,2,44
67.182,39.986,10,3,44
67.984,39.5,6,4,44
135.03,44.659,33,1,45
137.43,43.894,25,2,45
137.89,43.17,23,3,45
135.33,44.167,30,4,45
184.51,26.945,39,1,46
191.66,24.676,3,2,46
193,24.495,4,3,46
189.8,26.199,5,4,46
235.74,12.312,17,1,47
232.38,12.958,19,2,47
231.51,13,4,3,47
230.07,13.051,18,4,47
337.15,32.166,23,1,48
336.14,32.085,12,2,48
337.83,32.996,10,3,48
337.19,32.396,5,4,48
53.054,105.01,40,1,49
50.317,102.78,41,2,49
48.719,102.02,32,3,49
261.33,147.82,17,1,50
262.95,147.44,32,2,50
260.12,148.45,9,3,50
112.14,94.034,24,1,51
111.85,94.198,19,2,51
112.35,93.264,23,3,51
321.99,69.659,9,1,52
321.84,69.661,27,2,52
322.01,68.997,17,3,52
345.58,55.9,66,1,53
347.96,56.102,43,2,53
349.16,56.807,49,3,53
413.01,64.522,26,1,54
412.74,64.346,33,2,54
410.78,63.385,27,3,54
115.02,157.51,16,1,55
115.11,157.85,8,2,55
114.49,156.51,6,3,55
185.31,147.91,33,1,56
186.33,148.67,3,2,56
185.23,147.02,34,3,56
304.82,99.115,24,1,57
305.24,98.092,26,2,57
305.72,97.078,20,3,57
26.961,53.214,19,1,58
27,53.535,16,2,58
26.876,53.881,8,3,58
58.774,65.996,47,1,59
60.115,65.132,16,2,59
60.333,65.335,3,3,59
114.31,118.88,9,1,60
113.73,118,20,2,60
112.7,117.09,70,3,60
175.48,135.36,13,1,61
175.8,134.36,14,2,61
178.03,131.71,7,3,61
211.38,158.6,15,1,62
213,159.76,4,2,62
212.42,159.34,9,3,62
217.32,133.43,38,1,63
217.35,133.87,30,2,63
217.33,132.03,14,3,63
265.67,12.331,3,1,64
261,11.498,6,2,64
255.83,11.434,56,3,64
258.57,140.25,25,1,65
256.63,141.21,29,2,65
257.45,140.66,9,3,65
289.6,48.585,5,1,66
291.47,45.59,84,2,66
293.66,41.447,24,3,66
307.28,81.794,15,1,67
308.03,81.58,19,2,67
306.33,81.323,3,3,67
327.63,130.66,65,1,68
325.99,130.49,6,2,68
323.34,128.51,45,3,68
340.14,85.385,23,1,69
344.83,85.204,53,2,69
348.36,84.732,36,3,69
79.355,118.31,54,2,70
75.238,117.32,60,3,70
75.434,117.14,71,4,70
74.259,116.84,20,5,70
71.386,116.45,22,6,70
68.798,116.42,38,7,70
64.427,117.58,42,8,70
62.345,117.31,70,9,70
60.963,117.12,63,10,70
58.328,115.95,52,11,70
56.24,115.58,52,12,70
55.798,115.12,63,13,70
54.02,114.53,38,14,70
52.503,114.17,46,15,70
333.28,128.73,17,2,71
334,128.27,31,3,71
334.95,128.09,23,4,71
335.44,127.81,11,5,71
337.15,125.95,24,6,71
334.45,127.5,28,7,71
334.58,127.78,21,8,71
